employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
Bourges Plus,Bourges Plus,Bourges,47.083611111111,2.3955555555556,Cher,France,EPCI,un Archiviste Assistant de Conservation du Patrimoine (h/f),un Archiviste Assistant de Conservation du Patrimoine,Public,25/10/2017,2017
Brest métropole océane,Brest Métropole,Brest,48.39,-4.4869444444444,Finistère,France,EPCI,un Assistant de conservation du patrimoine « Archives » (h/f),un Assistant de conservation du patrimoine  Archives,Public,25/04/2013,2013
GRAHAL,La société GRAHAL,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,1 chef de département Archives (H/F),1 chef de département Archives,Privé,26/08/2021,2021
Brest métropole océane,Brest Métropole,Brest,48.39,-4.4869444444444,Finistère,France,EPCI,un assistant documentaire (h/f),un assistant documentaire,Public,10/01/2008,2008
France Stratégie (Commissariat général à stratégie et à prospective),France Stratégie,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un archiviste catégorie A,un archiviste catégorie A,Public,02/02/2015,2015
agence de Eau Rhin-Meuse,Agence de l'eau Rhin-Meuse,Moulins-lès-Metz,49.106388888889,6.1088888888889,Moselle,France,Établissement public,un(e) archiviste,un archiviste,Public,14/08/2007,2007
Agence régionale de santé - Ile de France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,un Responsable Archives-Records management Chef de projet MOA GED (F/H),un Responsable Archives-Records management Chef de projet MOA GED,Public,22/10/2020,2020
Agence régionale de santé – Ile de France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,un Archiviste – Records manager (F/H),un Archiviste – Records manager,Public,22/10/2020,2020
Agence Régionade Santé d’Ile-de-France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,Un Archiviste - Chef de projet maîtrise d’ouvrage GED-RM-SAE (h/f),Un Archiviste - Chef de projet maîtrise d’ouvrage GED-RM-SAE,Public,30/01/2018,2018
Agence Régionade Santé d’Ile-de-France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,Responsable Du service Archives-Records management (h/f),Responsable Du service Archives-Records management,Public,21/07/2017,2017
Perles d’Histoire,Perles d’Histoire,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un Directeur Archives  (F/H),un Directeur Archives,Privé,09/07/2021,2021
agence régionale de santé Ile-de-France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,un Archiviste – Records manager H/F,un Archiviste – Records manager,Public,22/05/2019,2019
Agglo d’Elbeuf,Agglo d'Elbeuf,Elbeuf,49.285833333333,1.0083333333333,Seine-Maritime,France,EPCI,une(e) chargé(e) des fonds contemporains,une chargé des fonds contemporains,Public,31/07/2008,2008
agglomération de Nevers,Nevers Agglomération,Nevers,46.9925,3.1566666666667,Nièvre,France,EPCI,un(e) archiviste,un archiviste,Public,17/01/2013,2013
AP-HP,Assistance publique – Hôpitaux de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Secteur hospitalier,son responsable Des archives hospitalières (h/f),son responsable Des archives hospitalières,Public,11/12/2012,2012
AP-HP,Assistance publique – Hôpitaux de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Secteur hospitalier,Un archiviste (F/H),Un archiviste,Public,11/10/2011,2011
SCIENCES PO,Institut d'études politiques de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,Un ou Une Archiviste F/H (CDD 16 mois),Un ou Une Archiviste (CDD 16 mois),Public,02/07/2021,2021
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un archiviste contractuel (H/F),un archiviste contractuel,Public,05/03/2021,2021
IMMO Mousquetaires,IMMO Mousquetaires,NA,,,NA,France,Entreprise,Records Manager / responsable Du Service Archives (F/H),Records Manager / responsable Du Service Archives,Privé,29/06/2021,2021
Institut national de statistique et des études économiques,Institut national de la statistique et des études économiques,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un.e manager-archiviste,manager-archiviste,Public,29/06/2021,2021
Klee Group,Klee Group,NA,,,NA,France,Entreprise,un Business Analyst H/F,un Business Analyst,Privé,25/06/2021,2021
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,archivistes contractuels (CDD de 3 ans),archiviste contractuel (CDD de 3 ans),Public,24/09/2018,2018
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,archivistes contractuels (CDD de 3 ans),archiviste contractuel (CDD de 3 ans),Public,24/09/2018,2018
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,archivistes contractuels (CDD de 3 ans),archiviste contractuel (CDD de 3 ans),Public,24/09/2018,2018
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,archivistes contractuels (h/f),archiviste contractuel,Public,15/07/2014,2014
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,archivistes contractuels (h/f),archiviste contractuel,Public,15/07/2014,2014
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,archivistes contractuels (h/f),archiviste contractuels,Public,15/07/2014,2014
SERDA,SERDA,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un-e Consultant-e Senior en GED / Dématérialisation,un Consultant Senior en GED / Dématérialisation,Privé,21/06/2021,2021
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un archiviste contractuel (h/f),un archiviste contractuel,Public,11/07/2011,2011
Latham & Watkin,Latham & Watkins,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un.e Archiviste - Spécialiste en Gouvernance de l’Information,Archiviste - Spécialiste en Gouvernance de l’Information,Privé,17/06/2021,2021
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un archiviste contractuel (h/f),un archiviste contractuel,Public,01/10/2010,2010
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,Un archiviste H/F,Un archiviste,Public,15/04/2008,2008
ECPAD,Établissement de communication et de production audiovisuelle de la Défense,Ivry-sur-Seine,48.813888888889,2.3877777777778,Val-de-Marne,France,Établissement public,un responsable Métiers plateforme « ImagesDéfense » F/H,un responsable Métiers plateforme  Images Défense,Public,14/06/2021,2021
ECPAD,Établissement de communication et de production audiovisuelle de la Défense,Ivry-sur-Seine,48.813888888889,2.3877777777778,Val-de-Marne,France,Établissement public,un responsable De l’éditorial web plateforme « ImagesDéfense »,un responsable De l’éditorial web plateforme  Images Défense,Public,14/06/2021,2021
ECPAD,Établissement de communication et de production audiovisuelle de la Défense,Ivry-sur-Seine,48.813888888889,2.3877777777778,Val-de-Marne,France,Établissement public,un directeur de la plateforme « ImagesDéfense » F/H,un directeur de la plateforme  Images Défense,Public,14/06/2021,2021
ECPAD,Établissement de communication et de production audiovisuelle de la Défense,Ivry-sur-Seine,48.813888888889,2.3877777777778,Val-de-Marne,France,Établissement public,un technicien support client (F/H),un technicien support client,Public,14/06/2021,2021
ECPAD,Établissement de communication et de production audiovisuelle de la Défense,Ivry-sur-Seine,48.813888888889,2.3877777777778,Val-de-Marne,France,Établissement public,un responsable technique plateforme « ImagesDéfense » F/H,un responsable technique plateforme  Images Défense,Public,14/06/2021,2021
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,Un archiviste H/F,Un archiviste,Public,15/04/2008,2008
INPI,Institut national de la propriété industrielle,Courbevoie,48.897222222222,2.2522222222222,Hauts-de-Seine,France,Établissement public,un Ingénieur chargé de diffusion des données entreprises (F/H),un Ingénieur chargé de diffusion des données entreprises,Public,07/06/2021,2021
PRO ARCHIVES SYSTEMES,Pro Archives Systèmes,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,Un archiviste (f/h),Un archiviste,Privé,07/06/2021,2021
Assemblée nationale,Assemblée nationale,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,Un archiviste H/F,Un archiviste,Public,15/04/2008,2008
Assistance Publique - Hôpitaux de Paris,Assistance publique – Hôpitaux de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Secteur hospitalier,un Responsable Des archives des hôpitaux (h/f),un Responsable Des archives des hôpitaux,Public,13/04/2016,2016
Assistance publique-Hôpitaux de Paris,Assistance publique – Hôpitaux de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Secteur hospitalier,un archiviste (catégorie B),un archiviste (catégorie B),Public,21/12/2011,2011
Assistance Publique-Hôpitaux de Paris,Assistance publique – Hôpitaux de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Secteur hospitalier,un archiviste responsable De la photothèque et des archives administratives hospitalières,un archiviste responsable De la photothèque et des archives administratives hospitalières,Public,12/02/2007,2007
Ecole Nationale Supérieure des Mines de Paris – MINES ParisTech,École nationale supérieure des mines de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un(e) Chargé(e) d’archives,un Chargé d’archives,Public,14/02/2017,2017
EuroMétropole de Strasbourg,Eurométropole de Strasbourg,Strasbourg,48.573333333333,7.7522222222222,Bas-Rhin,France,EPCI,un-e assistant-e archiviste chargé-e du traitement des fonds,un assistant archiviste chargé du traitement des fonds,Public,06/07/2020,2020
Association Diocésaine de Paris,Association Diocésaine de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) Archiviste pour ses Archives historiques,un Archiviste pour ses Archives historiques,Privé,07/05/2021,2021
EuroMétropole de Strasbourg,Eurométropole de Strasbourg,Strasbourg,48.573333333333,7.7522222222222,Bas-Rhin,France,EPCI,un.e assistant.e archiviste chargé.e de l’accompagnement des services versants,assistant archiviste chargé de l’accompagnement des services versants,Public,30/04/2020,2020
EuroMétropole de Strasbourg,Eurométropole de Strasbourg,Strasbourg,48.573333333333,7.7522222222222,Bas-Rhin,France,EPCI,un archiviste numérique - f/h,un archiviste numérique -,Public,10/03/2020,2020
Eurométropole Strasbourg,Eurométropole de Strasbourg,Strasbourg,48.573333333333,7.7522222222222,Bas-Rhin,France,EPCI,un archiviste numérique (h/f),un archiviste numérique,Public,04/12/2015,2015
fédération CGT des Services publics,Fédération des services publics CGT,Montreuil,48.860277777778,2.4430555555556,Seine-Saint-Denis,France,Entreprise,un archiviste-documentaliste (F/H),un archiviste-documentaliste,Privé,04/05/2021,2021
Hôpital AVICENNE,hôpital Avicenne,Bobigny,48.909722222222,2.4386111111111,Seine-Saint-Denis,France,Secteur hospitalier,un(e) archiviste chargé(e) de projet,un archiviste chargé de projet,Public,10/07/2009,2009
INRIA,Institut national de recherche en informatique et en automatique,Rocquencourt,48.836666666667,2.1108333333333,Yvelines,France,Établissement public,un-e Chargé-e des archives et de la gestion documentaire (H/F),un Chargé des archives et de la gestion documentaire,Public,22/02/2019,2019
Office national des anciens et combattants et victimes de guerre,Office national des anciens combattants et victimes de guerre,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un(e) chargé(e) d’études documentaires - responsable De la section archives au bureau immobilier-archives,un chargé d’études documentaires - responsable De la section archives au bureau immobilier-archives,Public,01/06/2018,2018
Bibliothèque nationale de  France,Bibliothèque nationale de France,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,Un.e Archiviste / Chargé.e de la gestion documentaire numérique,Archiviste / Chargé de la gestion documentaire numérique,Public,22/04/2021,2021
Université d’Orléans,université d'Orléans,Orléans,47.902222222222,1.9041666666667,Loiret,France,Établissement public,un archiviste (h/f),un archiviste,Public,12/02/2020,2020
HABITAT 08,HABITAT 08,Charleville-Mézières,49.76,4.7194444444444,Ardennes,France,Entreprise,un archiviste (f/h),un archiviste,Privé,16/04/2021,2021
IRON MOUNTAIN,IRON MOUNTAIN,NA,,,NA,France,Entreprise,un Consultant Gouvernance de l’Information (F/H),un Consultant Gouvernance de l’Information,Privé,13/04/2021,2021
BELFORT ARCHIVES LOGISTIQUE,BELFORT ARCHIVES LOGISTIQUE,Belfort,47.6375,6.8627777777778,Territoire de Belfort,France,Entreprise,un archiviste expert (F/H),un archiviste expert,Privé,07/04/2021,2021
ARCHIVES ANTILLES GUYANE,Archives Antilles Guyane (groupe Pro Archives Systèmes),NA,,,NA,France,Entreprise,Un(e) archiviste diplômé(e),Un archiviste diplômé,Privé,06/04/2021,2021
Université de Bordeaux,université de Bordeaux,Bordeaux,44.837777777778,-0.57944444444444,Gironde,France,Établissement public,un Archiviste F/H (CDD un an),un Archiviste (CDD un an),Public,08/06/2020,2020
université de Haute-Alsace,université de Haute-Alsace,Colmar,48.081111111111,7.355,Haut-Rhin,France,Établissement public,un maitre de conférence en archivistique,un maître de conférence en archivistique,Public,07/03/2008,2008
Bureau de Recherche Géologique et Minière,Bureau de recherches géologiques et minières,Orléans,47.902222222222,1.9041666666667,Loiret,France,Établissement public,un Archiviste (H/F),un Archiviste,Public,25/03/2021,2021
Université de Lille,université de Lille,Lille,50.631944444444,3.0575,Nord,France,Établissement public,un ingénieur d’étude archiviste (F/H),un ingénieur d’étude archiviste,Public,21/06/2021,2021
STUDIA Conseil,Studia Conseil,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un archiviste (F/H),un archiviste,Privé,22/03/2021,2021
Amplexor Business Services,Amplexor Business Services,Saclay,48.730833333333,2.1733333333333,Essonne,France,Entreprise,un.e archiviste,archiviste,Privé,18/03/2021,2021
Université Jean Moulin Lyon 3,université Jean-Moulin - Lyon-III,Lyon,45.758888888889,4.8413888888889,Rhône,France,Établissement public,un-e Chargé-e d’archives,un Chargé d’archives,Public,17/07/2020,2020
Université Jean Moulin Lyon 3,université Jean-Moulin - Lyon-III,Lyon,45.758888888889,4.8413888888889,Rhône,France,Établissement public,un-e Chargé-e d’archives,un Chargé d’archives,Public,20/02/2019,2019
Université Paris Dauphine,université Paris-Dauphine,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un (e) assistant (e) archiviste,un  assistant  archiviste,Public,01/10/2018,2018
Université Paris Diderot,université Paris-Diderot,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un Chargé d’archives (H/F),un Chargé d’archives,Public,25/03/2016,2016
Université Paris Diderot,université Paris-Diderot,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,Un (e) archiviste  (F/H) Catégorie A,Un  archiviste Catégorie A,Public,20/03/2012,2012
Université Paris Diderot,université Paris-Diderot,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un archiviste adjoint,un archiviste adjoint,Public,15/10/2010,2010
Université Paris Nanterre,université Paris-Nanterre,Nanterre,48.890555555556,2.2036111111111,Hauts-de-Seine,France,Établissement public,Un(e) responsable Des archives,Un responsable Des archives,Public,06/11/2019,2019
Université Paris-Est Créteil Val de Marne,université Paris-Est-Créteil-Val-de-Marne,Créteil,48.777777777778,2.4530555555556,Val-de-Marne,France,Établissement public,un aide-archiviste (H/F),un aide-archiviste,Public,24/07/2019,2019
Université Toulouse - Jean Jaurès,université Toulouse-Jean-Jaurès,Toulouse,43.604444444444,1.4438888888889,Haute-Garonne,France,Établissement public,un.e enseignant.e associé.e en archivistique,enseignant associé en archivistique,Public,05/09/2019,2019
CCI de région Paris Ile-de-France,CCI Paris Île-de-France,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un archiviste (h/f),un archiviste,Public,21/12/2015,2015
collectivité territoriad’Outre Mer de Saint-Martin,Conseil territorial de Saint-Martin,Le Marigot,14.821388888889,-61.028333333333,Saint-Martin,France,Conseil départemental,Un conservateur territorial du patrimoine ou un attaché territorial de conservation du patrimoine (spécialité archives),Un conservateur territorial du patrimoine ou un attaché territorial de conservation du patrimoine (spécialité archives),Public,18/10/2012,2012
Amplexor Business Services,Amplexor Business Services,Bagnols-sur-Cèze,44.1625,4.62,Gard,France,Entreprise,un archiviste (H/F),un archiviste,Privé,23/02/2021,2021
collectivité territoriad’Outre Mer de Saint-Martin,Conseil territorial de Saint-Martin,Le Marigot,14.821388888889,-61.028333333333,Saint-Martin,France,Conseil départemental,un(e) attaché(e) de conservation du patrimoine ou un(e) assistant(e) qualifié(e) de conservation du patrimoine (spécialité archives),un attaché de conservation du patrimoine ou un assistant qualifié de conservation du patrimoine (spécialité archives),Public,18/10/2012,2012
Communauté d’agglomération « Les Portes de Essonne »,communauté d'agglomération Les Portes de l'Essonne,Athis-Mons,48.708611111111,2.3891666666667,Essonne,France,EPCI,un archiviste (adjoint au chef de service) (h/f),un archiviste (adjoint au chef de service),Public,20/10/2014,2014
Dat@rchiv Scop,Dat@rchiv Scop,Nancy,48.692777777778,6.1836111111111,Meurthe-et-Moselle,France,Entreprise,2 archivistes (F/H) (CDD de 15 mois),archiviste (CDD de 15 mois),Privé,09/02/2021,2021
Dat@rchiv Scop,Dat@rchiv Scop,Nancy,48.692777777778,6.1836111111111,Meurthe-et-Moselle,France,Entreprise,2 archivistes (F/H) (CDD de 15 mois),archiviste (CDD de 15 mois),Privé,09/02/2021,2021
Dat@rchiv Scop,Dat@rchiv Scop,NA,,,NA,France,Entreprise,un archiviste chef d’équipe (F/H),un archiviste chef d’équipe,Privé,09/02/2021,2021
Communauté d’agglomération « Les Portes de Essonne »,communauté d'agglomération Les Portes de l'Essonne,Athis-Mons,48.708611111111,2.3891666666667,Essonne,France,EPCI,un magasinier des archives (H/F),un magasinier des archives,Public,13/03/2013,2013
IMEC,Institut mémoires de l'édition contemporaine,Saint-Germain-la-Blanche-Herbe,49.189722222222,-0.41083333333333,Calvados,France,Entreprise,un.e bibliothécaire,bibliothécaire,Privé,02/02/2021,2021
IMEC,Institut mémoires de l'édition contemporaine,Saint-Germain-la-Blanche-Herbe,49.189722222222,-0.41083333333333,Calvados,France,Entreprise,un.e Adjoint.e à la direction des collections,Adjoint à la direction des collections,Privé,02/02/2021,2021
Communauté d’agglomération « les Portes de Essonne »,communauté d'agglomération Les Portes de l'Essonne,Athis-Mons,48.708611111111,2.3891666666667,Essonne,France,EPCI,un archiviste,un archiviste,Public,20/10/2011,2011
communauté d’agglomération Amiens Métropole,Amiens Métropole,Amiens,49.891944444444,2.2977777777778,Somme,France,EPCI,Un Archiviste des Fonds Patrimoniaux (h/f),Un Archiviste des Fonds Patrimoniaux,Public,02/09/2021,2021
communauté d’agglomération Amiens Métropole,Amiens Métropole,Amiens,49.891944444444,2.2977777777778,Somme,France,EPCI,un Gestionnaire de l’Information Numérique (H/F),un Gestionnaire de l’Information Numérique,Public,08/09/2016,2016
Emmaüs International,Emmaüs International,Roubaix,50.69,3.1816666666667,Nord,France,Entreprise,un(e) Archiviste/Documentaliste,un Archiviste/Documentaliste,Privé,22/01/2021,2021
communauté d’agglomération Amiens Métropole,Amiens Métropole,Amiens,49.891944444444,2.2977777777778,Somme,France,EPCI,un archiviste - adjoint au chef de service (h/f),un archiviste - adjoint au chef de service,Public,22/04/2009,2009
communauté d’agglomération Bourges Plus,Bourges Plus,Bourges,47.083611111111,2.3955555555556,Cher,France,EPCI,un Chef de service Archives (f/h),un Chef de service Archives,Public,15/01/2021,2021
Communauté d’Agglomération de Brive,communauté d'agglomération de Brive,Brive-la-Gaillarde,45.158888888889,1.5330555555556,Corrèze,France,EPCI,Un.e Assistant.e de conservation (Catégorie B),Assistant de conservation (Catégorie B),Public,10/12/2020,2020
cabinet Dechert,Cabinet Dechert,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un Records Manager – Responsable archives (H/F),un Records Manager – Responsable archives,Privé,08/01/2021,2021
Université Paris-Est Créteil Val de Marne,université Paris-Est-Créteil-Val-de-Marne,Créteil,48.777777777778,2.4530555555556,Val-de-Marne,France,Établissement public,un aide-archiviste (f/h),un aide-archiviste,Public,17/12/2020,2020
Sciences Po,Institut d'études politiques de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un(e) archiviste - archives institutionnelles - Bibliothèque,un archiviste - archives institutionnelles - Bibliothèque,Public,15/12/2020,2020
Communauté d’Agglomération de Brive,communauté d'agglomération de Brive,Brive-la-Gaillarde,45.158888888889,1.5330555555556,Corrèze,France,EPCI,Un.e Assistant.e de conservation (Catégorie B),Assistant de conservation (Catégorie B),Public,24/06/2020,2020
Communauté d’agglomération de Cergy-Pontoise,communauté d'agglomération de Cergy-Pontoise,Cergy,49.052222222222,2.0361111111111,Val-d'Oise,France,EPCI,un Archiviste Manager (H/F),un Archiviste Manager,Public,14/03/2019,2019
Communauté d’agglomération de auxerrois,communauté d'agglomération de l'Auxerrois,Auxerre,47.7975,3.5669444444444,Yonne,France,EPCI,un.e archiviste,archiviste,Public,18/02/2021,2021
communauté d’agglomération de Vallée de Marne,communauté d'agglomération de la Vallée de la Marne,Le Perreux-sur-Marne,48.842222222222,2.5036111111111,Val-de-Marne,France,EPCI,un archiviste intercommunal,un archiviste intercommunal,Public,12/09/2007,2007
Université de Paris,université de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un Chargé d’archives (H/F),un Chargé d’archives,Public,05/11/2020,2020
ONERA,L’ONERA,NA,,,NA,France,Entreprise,un archiviste (F/H),un archiviste,Privé,03/11/2020,2020
communauté d’agglomération de Montélimar,communauté d'agglomération Montélimar-Sésame,Montélimar,44.558611111111,4.7508333333333,Drôme,France,EPCI,Un (e) adjoint (e) au responsable Du service des Archives,Un  adjoint  au responsable Du service des Archives,Public,01/02/2013,2013
communauté d’agglomération de Nevers,Nevers Agglomération,Nevers,46.9925,3.1566666666667,Nièvre,France,EPCI,un archiviste - records manager (H/F),un archiviste - records manager,Public,16/01/2020,2020
communauté d’agglomération de Nevers,Nevers Agglomération,Nevers,46.9925,3.1566666666667,Nièvre,France,EPCI,un responsable Du Service Commun des Archives (F/H),un responsable Du Service Commun des Archives,Public,10/08/2019,2019
Communauté d’agglomération du Boulonnais,communauté d'agglomération du Boulonnais,Boulogne-sur-Mer,50.725555555556,1.6138888888889,Pas-de-Calais,France,EPCI,un archiviste d’un service d’archives mutualisées (H/F),un archiviste d’un service d’archives mutualisées,Public,21/02/2019,2019
AMPLEXOR,Amplexor Business Services,Saclay,48.730833333333,2.1733333333333,Essonne,France,Entreprise,un archiviste itinérant (h/f),un archiviste itinérant,Privé,16/10/2020,2020
Établissement Public Territorial Grand Orly Seine Bièvre,Grand-Orly Seine Bièvre,Vitry-sur-Seine,48.7875,2.3927777777778,Val-de-Marne,France,Établissement public,un.e archiviste (h/f),archiviste,Public,15/10/2020,2020
Communauté d’Agglomération du Pays de Flers,communauté d'agglomération du Pays de Flers,Flers,48.748333333333,-0.56944444444444,Orne,France,EPCI,un chef de projet GED et usages numériques (h/f),un chef de projet GED et usages numériques,Public,12/06/2014,2014
Communauté d’Agglomération du Pays de FLERS,communauté d'agglomération du Pays de Flers,Flers,48.748333333333,-0.56944444444444,Orne,France,EPCI,un/e archiviste,un archiviste,Public,13/06/2013,2013
communauté d’agglomération du Pays de Flers,communauté d'agglomération du Pays de Flers,Flers,48.748333333333,-0.56944444444444,Orne,France,EPCI,une/e chargé/e de patrimoine culturel,un chargé de patrimoine culturel,Public,13/07/2012,2012
communauté d’agglomération du pays viennois,ViennAgglo,Vienne,45.525555555556,4.8747222222222,Isère,France,EPCI,Un responsable Des archives (H/F),Un responsable Des archives,Public,10/02/2015,2015
communauté d’agglomération du Pays viennois,ViennAgglo,Vienne,45.525555555556,4.8747222222222,Isère,France,EPCI,Un responsable Des archives (H/F),Un responsable Des archives,Public,05/12/2013,2013
communauté d’agglomération du Pays viennois,ViennAgglo,Vienne,45.525555555556,4.8747222222222,Isère,France,EPCI,un responsable archives (h/f),un responsable archives,Public,30/06/2010,2010
Communauté d’agglomération du Pays Voironnais,Pays voironnais,Voiron,45.363333333333,5.59,Isère,France,EPCI,un(e) Archiviste confirmé(e),un Archiviste confirmé,Public,16/01/2020,2020
Communauté d’agglomération du Pays Voironnais,Pays voironnais,Voiron,45.363333333333,5.59,Isère,France,EPCI,un archiviste (H/F),un archiviste,Public,23/07/2019,2019
Communauté d’agglomération du Pays Voironnais,Pays voironnais,Voiron,45.363333333333,5.59,Isère,France,EPCI,un archiviste (h/f),un archiviste,Public,26/08/2016,2016
XDEMAT,La société XDEMAT,Aix-en-Provence,43.527777777778,5.4455555555556,Bouches-du-Rhône,France,Entreprise,"quatre consultants en GED, dématérialisation et archivage électronique (h/f)","consultant en GED, dématérialisation et archivage électronique",Privé,22/09/2020,2020
XDEMAT,La société XDEMAT,Aix-en-Provence,43.527777777778,5.4455555555556,Bouches-du-Rhône,France,Entreprise,"quatre consultants en GED, dématérialisation et archivage électronique (h/f)","consultant en GED, dématérialisation et archivage électronique",Privé,22/09/2020,2020
XDEMAT,La société XDEMAT,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,"quatre consultants en GED, dématérialisation et archivage électronique (h/f)","consultant en GED, dématérialisation et archivage électronique",Privé,22/09/2020,2020
XDEMAT,La société XDEMAT,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,"quatre consultants en GED, dématérialisation et archivage électronique (h/f)","consultant en GED, dématérialisation et archivage électronique",Privé,22/09/2020,2020
Communauté d’agglomération du Pays Voironnais,Pays voironnais,Voiron,45.363333333333,5.59,Isère,France,EPCI,un(e) archiviste,un archiviste,Public,13/04/2012,2012
Communauté d’agglomération du Pays Voironnais,Pays voironnais,Voiron,45.363333333333,5.59,Isère,France,EPCI,un archiviste (H/F),un archiviste,Public,15/02/2012,2012
communauté d’agglomération Flers Agglo,Flers Agglo,Flers,48.748333333333,-0.56944444444444,Orne,France,EPCI,un archiviste (h/f),un archiviste,Public,14/02/2020,2020
SICEM,SICEM,Issy-les-Moulineaux,48.823055555556,2.2691666666667,Hauts-de-Seine,France,Entreprise,un chef de projet progiciel Archives (h/f),un chef de projet progiciel Archives,Privé,11/09/2020,2020
AMPLEXOR,Amplexor Business Services,Laudun-l'Ardoise,44.105,4.6575,Gard,France,Entreprise,un archiviste (F/H),un archiviste,Privé,09/09/2020,2020
Communauté d’Agglomération Grand Paris Sud Seine-Essonne-Sénart,Grand Paris Sud Seine-Essonne-Sénart,Évry-Courcouronnes,48.623832,2.4295664,Essonne,France,EPCI,"un(e) archiviste, chargé(e), de traitement","un archiviste, chargé, de traitement",Public,20/09/2019,2019
Communauté d’agglomération Grand Paris Sud Seine-Essonne-Sénart,Grand Paris Sud Seine-Essonne-Sénart,Évry-Courcouronnes,48.623832,2.4295664,Essonne,France,EPCI,"un(e) archiviste, chargé(e) de collecte","un archiviste, chargé de collecte",Public,17/09/2019,2019
Conférence des Évêques de France,Conférence des évêques de France,Issy-les-Moulineaux,48.823055555556,2.2691666666667,Hauts-de-Seine,France,Entreprise,Un(e) Archiviste,Un Archiviste,Privé,07/09/2020,2020
Communauté d’Agglomération Grand Paris Sud Seine-Essonne-Sénart,Grand Paris Sud Seine-Essonne-Sénart,Évry-Courcouronnes,48.623832,2.4295664,Essonne,France,EPCI,"un(e) archiviste, responsable Des fonds intercommunaux (h/f)","un archiviste, responsable Des fonds intercommunaux",Public,04/09/2017,2017
communauté d’agglomération Brie francilienne,communauté d'agglomération de la Brie Francilienne,Roissy-en-Brie,48.791111111111,2.6513888888889,Seine-et-Marne,France,EPCI,un(e) archiviste,un archiviste,Public,02/06/2014,2014
