employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
Ministère de Justice,ministère de la Justice,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un.e Chargé.e de suivi en confiance numérique – archiviste-expert.e,Chargé de suivi en confiance numérique – archiviste exper,Public,22/07/2020,2020
société TOTAL,TOTAL,La Défense,48.891666666666666,2.2408333333333332,Hauts-de-Seine,France,Entreprise,un(e) responsable Du service archives & records management,un responsable Du service archives & records management,Privé,10/01/2008,2008
Ministère de Justice,ministère de la Justice,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un.e Chargé.e de suivi en confiance numérique pour le PTN – archiviste-expert.e,Chargé de suivi en confiance numérique pour le PTN – archiviste exper,Public,22/07/2020,2020
Ministère de Justice,ministère de la Justice,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,"un chef du pôle archives de l’administration centrale, chargé du pôle patrimoine mobilier (h/f)","un chef du pôle archives de l’administration centrale, chargé du pôle patrimoine mobilier",Public,05/10/2016,2016
Bureau Van Dijk,Le Bureau Van Dijk,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un Consultant (H/F) spécialisé dans la gestion des archives,un Consultant spécialisé dans la gestion des archives,Privé,10/01/2008,2008
Musée Rodin,musée Rodin,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) secrétaire de documentation,un secrétaire de documentation,Privé,19/12/2007,2007
Ministère de Justice,ministère de la Justice,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un Chef du projet « Programme Justice pour l’Archivage Electronique » (PROJ@E) (h/f),un Chef du projet  Programme Justice pour l’Archivage Électronique  (PROJ@E),Public,05/10/2016,2016
Ministère de Justice,ministère de la Justice,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un adjoint au chef de département (h/f),un adjoint au chef de département,Public,05/10/2016,2016
ministère des affaires étrangères et européennes,ministère des Affaires étrangères,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un conservateur du Patrimoine,un conservateur du Patrimoine,Public,03/11/2007,2007
Ministère des Armées,ministère des Armées,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un Conseiller en archivage électronique (H/F),un Conseiller en archivage électronique,Public,05/03/2019,2019
Les Archives diocésaines d’Arras,archives du diocèse d'Arras,Arras,50.289166666667,2.78,Pas-de-Calais,France,Entreprise,Un/une responsable Du service (H/F),Un/une responsable Du service,Privé,10/12/2007,2007
Ministère des Armées,ministère des Armées,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un Archiviste en charge du suivi des services d’archives du ministère des Armées (H/F),un Archiviste en charge du suivi des services d’archives du ministère des Armées,Public,05/03/2019,2019
Ministère des Armées,ministère des Armées,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un Archiviste en charge du suivi des services d’archives du ministère des Armées (h/f),un Archiviste en charge du suivi des services d’archives du ministère des Armées,Public,29/09/2017,2017
AFSSAPS,Agence française de sécurité sanitaire des produits de santé,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,Un archiviste H/F,Un archiviste,Public,29/11/2007,2007
Poste_2,La Poste,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un archiviste-paléographe,un archiviste-paléographe,Privé,29/11/2007,2007
Ministère des Armées,ministère des Armées,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un chef de la section « technologie des systèmes d’information » au sein du bureau de la politique des archives et des bibliothèques (h/f),un chef de la section  technologie des systèmes d’information  au sein du bureau de la politique des archives et des bibliothèques,Public,29/09/2017,2017
institut Pasteur,institut Pasteur,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un archiviste (H/F),un archiviste,Privé,19/11/2007,2007
Ministère des Armées,ministère des Armées,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un chef de la section archives du bureau de la politique des archives et des bibliothèques (h/f),un chef de la section archives du bureau de la politique des archives et des bibliothèques,Public,29/09/2017,2017
Ministère des Armées,ministère des Armées,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un conseiller pour l’archivage électronique au sein du bureau de la politique des archives et des bibliothèques (h/f),un conseiller pour l’archivage électronique au sein du bureau de la politique des archives et des bibliothèques,Public,29/09/2017,2017
Poste_1,La Poste,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) Chargé(e) du département « Pilotage du réseau territorial et système d’information »,un Chargé du département Pilotage du réseau territorial et système d’information,Privé,19/11/2007,2007
Chambre de Commerce et d’Industrie de Dordogne,chambre de commerce et d'industrie de la Dordogne,Périgueux,45.184166666667,0.71805555555556,Dordogne,France,Établissement public,Un Assistant ou Assistant qualifié de Conservation du Patrimoine contractuel,Un Assistant ou Assistant qualifié de Conservation du Patrimoine contractuel,Public,19/11/2007,2007
société LOCARCHIVES,Locarchives,La Défense,48.891666666666666,2.2408333333333332,Hauts-de-Seine,France,Entreprise,Un(e) chef d’équipe confirmé(e),Un chef d’équipe confirmé,Privé,19/11/2007,2007
société ARKEA,La société ARKEA,NA,,,NA,France,Entreprise,un(e) archiviste,un archiviste,Privé,19/11/2007,2007
Musée du Quai Branly,musée du quai Branly - Jacques-Chirac,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un(e) chargé(e) de la documentation des collections et des archives administratives,un chargé de la documentation des collections et des archives administratives,Public,02/02/2012,2012
Rectorat de Académie de Nancy-Metz,Le Rectorat de l’Académie de Nancy-Metz,Nancy,48.692777777778,6.1836111111111,Meurthe-et-Moselle,France,État et service déconcentré,un chef du service des archives de l’Académie de Nancy-Metz,un chef du service des archives de l’Académie de Nancy-Metz,Public,02/07/2021,2021
SAN de Sénart,communauté d'agglomération de Sénart en Essonne,Saint-Pierre-du-Perray,48.613055555556,2.4952777777778,Essonne,France,EPCI,Un assistant au service archives et mémoire (F / H) - (poste temps complet),Un assistant au service archives et mémoire (poste temps complet),Public,11/04/2013,2013
SAN de Sénart,communauté d'agglomération de Sénart en Essonne,Saint-Pierre-du-Perray,48.613055555556,2.4952777777778,Essonne,France,EPCI,Un responsable Du service Archives et Mémoire (F / H),Un responsable Du service Archives et Mémoire,Public,11/10/2011,2011
SAN de Sénart,communauté d'agglomération de Sénart en Essonne,Saint-Pierre-du-Perray,48.613055555556,2.4952777777778,Essonne,France,EPCI,un responsable Du service « archives et mémoire » ,un responsable Du service  archives et mémoire,Public,12/04/2007,2007
SDIS du Pas de Calais,service départemental d'incendie et de secours du Pas-de-Calais,Saint-Laurent-Blangy,50.3025,2.8027777777778,Pas-de-Calais,France,Conseil départemental,un(e) archiviste responsable Des archives,un archiviste responsable Des archives,Public,20/11/2014,2014
Sénat,Sénat,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un archiviste (h/f),un archiviste,Public,08/10/2015,2015
service départemental d’incendie et de secours de Vaucluse,service départemental d'incendie et de secours du Vaucluse,Avignon,43.948611111111,4.8083333333333,Vaucluse,France,Conseil départemental,un assistant ou assistant qualifié de conservation du patrimoine (spécialité archives) responsable (h/f) de son service archives,un assistant ou assistant qualifié de conservation du patrimoine (spécialité archives) responsable de son service archives,Public,11/02/2010,2010
Service historique de Défense,Service historique de la Défense,Vincennes,48.847777777778,2.4391666666667,Val-de-Marne,France,État et service déconcentré,un conservateur du patrimoine (h/f),un conservateur du patrimoine,Public,19/03/2014,2014
Syndicat Intercommunal des Collectivités Territoriales Informatisées des Alpes Méditerranée,Syndicat Intercommunal des Collectivités Territoriales Informatisées Alpes Méditerranée,Valbonne,43.641388888889,7.0088888888889,Alpes-Maritimes,France,EPCI,Archiviste-Consultant GED (Gestion Electronique de Documents) (H/F),Archiviste-Consultant GED (Gestion Électronique de Documents),Public,26/04/2017,2017
société Pierre Fabre,La société Pierre Fabre,Castres,43.605833333333,2.24,Tarn,France,Entreprise,un(e) responsable Du service archives,un responsable Du service archives,Privé,24/09/2007,2007
société SERDA,La société SERDA,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) consultant(e) confirmé(e),un consultant confirmé,Privé,18/09/2007,2007
Syndicat Mixte du Parc Naturel Régional des Boucles de Seine Normande,Syndicat mixte de réalisation et de gestion du parc naturel régional des boucles de la Seine Normande,Notre-Dame-de-Bliquetuit,49.494722222222,0.76416666666667,Seine-Maritime,France,EPCI,un archiviste,un archiviste,Public,25/02/2011,2011
Syndicat Mixte pour Assainissement et Gestion des Eaux du bassin versant de Yerres,Syndicat mixte pour l'Assainissement et la Gestion des Eaux du bassin versant de l'Yerres,Montgeron,48.7075,2.4552777777778,Essonne,France,EPCI,un archiviste/documentaliste (h/f),un archiviste/documentaliste,Public,03/07/2018,2018
Les Archives de Paris,archives de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,un chargé d’études documentaire (H/F),un chargé d’études documentaire,Public,31/07/2019,2019
